CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR,MEETING_TYPE,MEETING_CATEGORY
74683,CSE,174,  E,Fundmntls-Progrming&Prob Solvg,3,27,20,1200,1350,F,BEN,001,"Krumpe, Norman",CLAS,02
74683,CSE,174,  E,Fundmntls-Progrming&Prob Solvg,3,27,20,1300,1355,MW,KRG,319,"Krumpe, Norman",CLAS,01
80168,CSE,387,  A,Game Engine Design,3,20,20,1300,1420,TR,BEN,006,"Bachmann, Eric",CLAS,01
72319,CSE,700,  A,Master's Research,0 - 9,1,0,,,,,,"Bachmann, Eric",CLAS,01
71352,CSE,487,  A,Game Design and Implementation,3,20,21,1430,1550,TR,BEN,006,"Bachmann, Eric",CLAS,01
77218,CSE,587,  A,Game Design and Implementation,3,4,3,1430,1550,TR,BEN,006,"Bachmann, Eric",CLAS,01
79591,CSE,311,  A,Software Architecture & Design,3,32,20,0830,0950,TR,BEN,206,"Gannod, Gerald",CLAS,01
72271,CSE,690,  A,Graduate Research,3,1,0,,,,,,"Gannod, Gerald",CLAS,01
79599,CSE,551,  A,Web Services,3,2,4,1130,1250,TR,BEN,010,"Campbell, Scott",CLAS,01
79598,CSE,451,  A,Web Services,3,33,20,1130,1250,TR,BEN,010,"Campbell, Scott",CLAS,01
71384,CSE,148, KK,Business Computing,3,30,28,1130,1250,TR,BEN,001,"Kinne, Michael",CLAS,01
72130,CSE,151,H B,"Computers, Comp Sci & Society",3,28,24,,,,WEB,,"Murphy, Marianne",CLAS,01
71336,CSE,271,  C,Object-Oriented Programming,3,26,28,1800,1950,MW,BEN,002,"Gopalasamy, Karthikeyan",CLAS,01
72356,CSE,700,  B,Master's Research,0 - 9,1,0,,,,,,"Brinkman, William",CLAS,01
71627,CSE,163,M A,Intro-Computer Concepts & Prog,3,20,24,1300,1450,MW,JHN,015,"Seibold, Pam",CLAS,01
71713,CSE,163,H A,Intro-Computer Concepts & Prog,3,21,24,1300,1450,TR,MOS,322,"Seibold, Pam",CLAS,01
71337,CSE,271,  D,Object-Oriented Programming,3,34,36,1200,1350,F,BEN,010,"Stephan, Matthew",CLAS,02
71337,CSE,271,  D,Object-Oriented Programming,3,34,36,1430,1525,TR,BEN,102,"Stephan, Matthew",CLAS,01
74687,CSE,271,  E,Object-Oriented Programming,3,34,36,1400,1550,F,BEN,010,"Stephan, Matthew",CLAS,02
74687,CSE,271,  E,Object-Oriented Programming,3,34,36,1430,1525,TR,BEN,102,"Stephan, Matthew",CLAS,01
