CRN,SUBJ,CRSE,SECTION,TITLE,HOURS,ENRL,MAX_ENRL,START_TIME,END_TIME,DAYS,BLDG,ROOM,INSTRUCTOR
59672,CSE,383,  A,Client/Server Programming,3,19,18,830,950,T,BEN,207,"Campbell, Scott"
59672,CSE,383,  A,Client/Server Programming,3,19,18,830,950,R,BEN,2,"Campbell, Scott"
67095,CSE,383,  B,Client/Server Programming,3,19,16,830,950,T,BEN,207,"Campbell, Scott"
67095,CSE,383,  B,Client/Server Programming,3,19,16,1300,1420,R,BEN,2,"Campbell, Scott"
59430,CSE,385,  A,Database Systems,3,32,24,1430,1550,T,BEN,207,"Inclezan, Daniela"
59430,CSE,385,  A,Database Systems,3,32,24,1430,1550,R,BEN,10,"Inclezan, Daniela"
65777,CSE,385,  B,Database Systems,3,29,24,1600,1720,T,BEN,207,"Duraisamy, Prakash"
65777,CSE,385,  B,Database Systems,3,29,24,1600,1720,R,BEN,10,"Duraisamy, Prakash"
59431,CSE,386,  A,Intro To Computer Graphics,3,26,24,1200,1350,WF,BEN,6,"Bachmann, Eric"
66035,CSE,441, TA,Technical Computing Tools,1,1,4,830,925,MW,BEN,2,"Mueller, Jens"
59544,CSE,448,  A,Senior Design Project,2,52,50,1900,2000,M,,,"Kiper, James"
59544,CSE,448,  A,Senior Design Project,2,52,50,,,,,,"Kiper, James"
59545,CSE,449,  A,Senior Design Project,2-Jan,14,16,,,,,,"Kiper, James"
59433,CSE,464,  A,Algorithms,3,29,32,1430,1550,MW,BEN,207,"Gelfond, Gregory"
60303,CSE,466,  A,Bioinformatics Computing Skill,3,6,2,1130,1250,TR,BEN,2,"Liang, Chun"
63362,CSE,473,  A,Automata Forml Lang&Computblty,3,27,26,1000,1120,TR,BEN,207,"Zmuda, Michael"
59435,CSE,486,  A,Intro Artificial Intelligence,3,26,24,830,950,WF,BEN,204,"Zmuda, Michael"
62887,CSE,486,  B,Intro Artificial Intelligence,3,24,24,1000,1120,WF,BEN,204,"Zmuda, Michael"
59542,CSE,541, TA,Technical Computing Tools,1,5,12,830,925,MW,BEN,2,"Mueller, Jens"
60652,CSE,564,  A,Algorithms,3,9,8,1430,1550,MW,BEN,207,"Gelfond, Gregory"
60304,CSE,566,  A,Bioinformatics Computing Skill,3,0,2,1130,1250,TR,BEN,2,"Liang, Chun"
63363,CSE,573,  A,Automata Forml Lang&Computblty,3,8,12,1000,1120,TR,BEN,207,"Zmuda, Michael"
59438,CSE,586,  A,Intro Artificial Intelligence,3,5,6,830,950,WF,BEN,204,"Zmuda, Michael"
63373,CSE,586,  B,Intro Artificial Intelligence,3,3,6,1000,1120,WF,BEN,204,"Zmuda, Michael"
64263,CSE,609,  A,Scientific Programming,3,6,18,1300,1420,TR,BEN,8,"Sobel, Ann"
67183,CSE,610J,  A,Grad Research in Comp. Science,1,10,20,,,,,,"Bachmann, Eric"
67730,CSE,615,  A,Mathematical Modeling,3,23,20,1300,1420,WF,BEN,206,"Karro, John"
67731,CSE,620,  A,Special Topics,3,1,0,,,,,,"Kiper, James"
68372,CSE,620A,  A,Knowledge Representation,3,16,16,830,950,T,BEN,6,"Inclezan, Daniela"
68372,CSE,620A,  A,Knowledge Representation,3,16,16,830,950,R,BEN,213,"Inclezan, Daniela"
60416,CSE,700,  A,Master's Research,0 - 9,1,0,,,,,,"Troy, Douglas"
60458,CSE,700,  B,Master's Research,0 - 9,4,0,,,,,,"Bachmann, Eric"
60675,CSE,700,  C,Master's Research,0 - 9,1,0,,,,,,"Rao, Dhananjai"
60733,CSE,700,  D,Master's Research,0 - 9,2,0,,,,,,"Karro, John"
60874,CSE,700,  F,Master's Research,0 - 9,2,0,,,,,,"Brinkman, William"
65609,CSE,700,  G,Master's Research,0 - 9,1,0,,,,,,"Stephan, Matthew"
